date,countryiso3code,SH.XPD.CHEX.PC.CD,SH.XPD.CHEX.GD.ZS,SP.ADO.TFRT,SP.POP.GROW,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.TFRT.IN,SP.DYN.LE00.IN,SP.DYN.IMRT.IN,SH.STA.SUIC.P5,NCD_BMI_25A,NY.GDP.MKTP.KN,NCD_HYP_PREVALENCE_A
1997,PER,347.560119628906,6.23941802978516,73.871,182986790775339.0,25210957,25.132,3.099,69.834,37.0,3.49856328964233,139.6,214028000000,59.9
1998,ARG,745.810302734375,8.91427993774414,68.6524,11322150155202.0,36063451,19.945,2.618,73.213,18.9,8.56358051300049,159.9,500724897600,118.3
1998,BRA,529.132873535156,8.43036651611328,83.578,152896188133332.0,169785253,21.147,2.426,69.419,34.3,4.35538196563721,133.3,258102977094452,127.4
1998,CHL,549.111511230469,6.5918984413147,63.6964,128686924431867.0,14977736,17.742,2.172,75.813,10.1,7.5546703338623,159.7,91335155998100,116.1
1998,COL,426.941589355469,6.89808177947998,99.8418,168362475992525.0,38364307,23.361,2.683,72.264,22.6,4.54717016220093,144.7,436627861973400,91.7
1998,MEX,568.765502929688,7.11598873138428,81.612,151607803145003.0,96056313,24.702,2.821,73.625,25.9,5.06335258483887,163.4,11993572609000,99.7
1998,PER,340.042694091797,6.04146003723145,73.3986,175794404115024.0,25658070,24.448,3.002,70.274,34.3,3.47912049293518,141.4,213190000000,59.7
1999,ARG,748.006530761719,8.88093280792236,67.5038,111338052309698.0,36467218,19.702,2.577,73.396,18.2,8.59920501708984,161.5,483773071300,119.3
1999,BRA,530.084411621094,8.34595966339111,82.894,148110975211591.0,172318674,20.654,2.365,69.769,32.3,4.40254688262939,135.4,259310737884995,128.6
1999,CHL,548.248413085938,6.51965713500977,62.0298,122802938601228.0,15162801,17.112,2.11,76.092,9.8,7.56339645385742,161.5,91085234333700,116.9
1999,COL,427.845153808594,6.82773876190186,98.7616,164204828834622.0,38999468,22.803,2.627,72.619,21.8,4.58205127716064,146.6,418271960097800,92.4
1999,MEX,571.0048828125,7.06088256835938,80.244,147620911098515.0,97484823,24.272,2.766,73.988,24.8,5.11377239227295,165.4,12323822137000,100.8
1999,PER,333.985595703125,5.86503267288208,72.9262,1624521713713.0,26078295,23.839,2.917,70.7,31.7,3.47330832481384,143.1,216377000000,59.6
2000,ARG,708.76953125,8.2200098,66.3552,110060813455916.0,36870796,19.499,2.542,73.576,17.5,9.1,163.1,479956106900,120.4
2000,BRA,312.53927612,8.33459282,82.21,142416744229362.0,174790339,20.119,2.3,70.116,30.4,4.0,137.8,270689161965341,130.0
2000,CHL,356.96377563,7.03517628,60.3632,117718527887184.0,15342350,16.556,2.055,76.366,9.2,10.3,163.3,95613647416500,117.6
2000,COL,132.87971497,5.63529348,97.6814,160375190216718.0,39629965,22.256,2.572,72.945,21.2,5.0,148.6,430505835553500,92.9
2000,MEX,318.46151733,4.44912481,78.876,14410967038977.0,98899845,23.85,2.716,74.34,23.8,3.5,167.3,12932921342000,101.9
2000,PER,84.07585907,4.41482639,72.4538,145286831279612.0,26459944,23.328,2.845,71.111,29.3,3.1,144.9,222207000000,59.6
2001,ARG,675.05786133,8.37179756,65.2066,109203361158056.0,37275644,19.328,2.512,73.755,16.9,10.3,164.7,458795611600,121.6
2001,BRA,270.18981934,8.54960632,81.526,136695595542708.0,177196051,19.547,2.232,70.462,28.5,4.4,140.0,274451460894755,131.3
2001,CHL,327.13198853,7.15104103,58.6966,112619894374837.0,15516112,16.092,2.009,76.634,8.7,10.3,164.9,98629335248700,118.3
2001,COL,136.61053467,5.94238234,96.6012,156724440399711.0,40255956,21.705,2.516,73.241,20.6,4.9,150.4,437729285682800,93.4
